iter	Passed	Remaining
0	1390	694048
1	2498	622189
2	3362	557121
3	4520	560492
4	5354	530139
5	6148	506197
6	6820	480385
7	7901	485968
8	8706	474988
9	9542	467591
10	10340	459680
11	11001	447406
12	12033	450800
13	13448	466837
1414	17618	569651515	19010	575061616	20208	574161717	21294	570221818	22138	560451919	23372	560942020	24407	556732121	25763	559775
22	27238	564896
23	28639	568015
24	30332	576314
25	32000	583399
26	33795	592039
27	35593	600012
28	37245	604921
29	39156	613456
30	40746	616456
31	42332	619106
32	44238	626034
33	45671	625967
34	46939	623629
35	48296	622483
36	49504	619471
37	50791	617521
38	52136	616285
39	53527	615564
40	54881	614407
41	56409	615136
42	58053	616985
43	59503	616671
44	60897	615736
45	62150	613400
46	63477	611816
47	64695	609217
48	65946	606981
49	67139	604251
50	68272	601062
51	69675	600280
52	70901	597984
53	72109	595567
54	73482	594540
55	75224	596419
56	76556	594989
57	77668	591886
58	79182	591854
59	80525	590523
60	82114	590952
61	84155	594517
62	85968	596320
63	87719	597592
64	89364	598053
65	91235	599943
66	92895	600353
67	94097	597795
68	95324	595430
69	96568	593207
70	97552	589434
71	98760	587073
72	100263	586473
73	101685	585377
74	102707	582010
75	103973	580061
76	105174	577776
77	106373	575506
78	108091	576033
79	109288	573763
80	110017	569100
81	111300	567363
82	112372	564570
83	113654	562858
84	114863	560802
85	115999	558414
86	117110	555936
87	118492	554761
88	119342	551120
89	120389	548442
90	121085	544218
91	122321	542468
92	123740	541532
93	125137	540487
94	126353	538663
95	127451	536358
96	128661	534542
97	129464	531068
98	130381	528111
99	131633	526535
100	132563	523689
101	133639	521457
102	134835	519707
103	135862	517321
104	136726	514351
105	137852	512394
106	139282	511568
107	139611	506738
108	140943	505587
109	142460	505086
110	143439	502685
111	144622	501013
112	145597	498638
113	146635	496504
114	147622	494213
115	148387	491214
116	148662	486648
117	150033	485700
118	151417	484791
119	152803	483878
120	153997	482356
121	155040	480371
122	155812	477571
123	156894	475746
124	158148	474444
125	159407	473162
126	160700	471979
127	161956	470684
128	163413	469970
129	164902	469337
130	166232	468241
131	167405	466707
132	168909	466087
133	169943	464173
134	171233	462963
135	172395	461411
136	173490	459685
137	174662	458173
138	175417	455580
139	176709	454395
140	178260	453869
141	179584	452754
142	181111	452144
143	182344	450795
144	183772	449926
145	185031	448638
146	186000	446654
147	187112	445023
148	188331	443654
149	189567	442325
150	190684	440721
151	191729	438958
152	192877	437440
153	194070	436028
154	195072	434193
155	196861	434105
156	198083	432756
157	199566	431973
158	200833	430717
159	201849	428930
160	203055	427551
161	204375	426413
162	205775	425438
163	206938	423972
164	207950	422202
165	209141	420802
166	210413	419566
167	211857	418670
168	213068	417311
169	214333	416058
170	215325	414281
171	216404	412677
172	217494	411102
173	218360	409111
174	219409	407475
175	220437	405804
176	221439	404096
177	222435	402383
178	223330	400497
179	224256	398677
180	225205	396908
181	226111	395073
182	227378	393874
183	228853	393031
184	230534	392532
185	232103	391829
186	233410	390681
187	234421	389039
188	235571	387633
189	236722	386232
190	237646	384465
191	238950	383316
192	239931	381651
193	241190	380434
194	242442	379205
195	243462	377615
196	244953	376756
197	246516	375999
198	247563	374454
199	248528	372792
200	249918	371769
201	251189	370567
202	252237	369036
203	253348	367603
204	254343	366006
205	255319	364388
206	256719	363375
207	257946	362116
208	259168	360851
209	260428	359639
210	261682	358418
211	262598	356738
212	263955	355658
213	264858	353970
214	265978	352576
215	267104	351193
216	268052	349580
217	269434	348534
218	270661	347286
219	272386	346673
220	273662	345483
221	274968	344329
222	276093	342949
223	277439	341845
224	278564	340468
225	279526	338894
226	280620	337486
227	281875	336272
228	283226	335171
229	284205	333632
230	285277	332206
231	286085	330477
232	286714	328552
233	287674	327014
234	288384	325199
235	289090	323389
236	290010	321825
237	290736	320054
238	291300	318114
239	292148	316494
240	293079	314969
241	294033	313473
242	294777	311760
243	295623	310162
244	296467	308568
245	297816	307501
246	298698	305954
247	299957	304795
248	300871	303287
249	302153	302153
250	303336	300919
251	304218	299389
252	305551	298304
253	306545	296890
254	307734	295666
255	308596	294130
256	309584	292720
257	310496	291240
258	311661	290001
259	312560	288517
260	313448	287027
261	314361	285564
262	315421	284238
263	316618	283038
264	317699	281733
265	318570	280245
266	319460	278780
267	320334	277304
268	321310	275921
269	322047	274336
270	322852	272815
271	323545	271207
272	324422	269758
273	325527	268500
274	326307	266978
275	326980	265375
276	327738	263847
277	328570	262383
278	329422	260940
279	330051	259326
280	330785	257801
281	331461	256235
282	332155	254692
283	332847	253151
284	333650	251701
285	334412	250225
286	334939	248579
287	335644	247071
288	336370	245585
289	336925	243980
290	337601	242469
291	338385	241041
292	339150	239604
293	340114	238311
294	340885	236886
295	341730	235517
296	342271	233943
297	343176	232622
298	343887	231175
299	344671	229781
300	345713	228561
301	346687	227298
302	347556	225969
303	348429	224645
304	349069	223175
305	349888	221824
306	350487	220339
307	351603	219181
308	352559	217924
309	353419	216612
310	354408	215380
311	355378	214138
312	356304	212871
313	357110	211536
314	357899	210194
315	358944	209005
316	359973	207808
317	360868	206534
318	361326	205015
319	362123	203694
320	362926	202379
321	363820	201118
322	364898	199960
323	365466	198525
324	366311	197244
325	367220	196000
326	367835	194604
327	368848	193420
328	369845	192229
329	370513	190870
330	371487	189671
331	372604	188547
332	373543	187332
333	374365	186061
334	375181	184791
335	375875	183462
336	376874	182286
337	377650	181004
338	378423	179723
339	379262	178476
340	380135	177248
341	380943	175991
342	381483	174614
343	382259	173350
344	382819	171991
345	383731	170793
346	384630	169592
347	385554	168402
348	386397	167180
349	387249	165964
350	388119	164757
351	389224	163651
352	390149	162470
353	390952	161240
354	391843	160048
355	392706	158847
356	393501	157620
357	394399	156437
358	395536	155349
359	396367	154142
360	397162	152923
361	397936	151699
362	398788	150507
363	399673	149328
364	400541	148145
365	401306	146926
366	402189	145752
367	402935	144531
368	403636	143296
369	404281	142044
370	405050	140839
371	405740	139609
372	406608	138443
373	407399	137252
374	408341	136113
375	409107	134918
376	409971	133757
377	410940	132631
378	411778	131464
379	412581	130288
380	413449	129135
381	414289	127974
382	414988	126772
383	415800	125606
384	416662	124457
385	417309	123246
386	417953	122038
387	418720	120867
388	419450	119688
389	420146	118502
390	420954	117350
391	421665	116173
392	422654	115073
393	423641	113974
394	424394	112813
395	425231	111676
396	426152	110563
397	427150	109470
398	427967	108332
399	428851	107212
400	429626	106067
401	430547	104959
402	431314	103815
403	431924	102635
404	432583	101470
405	433077	100269
406	433960	99160
407	434622	98003
408	435331	96858
409	436049	95718
410	437047	94640
411	437945	93541
412	438810	92437
413	439758	91350
414	440701	90264
415	441363	89121
416	442157	88007
417	442940	86892
418	443810	85796
419	444745	84713
420	446029	83696
421	447109	82641
422	448211	81589
423	449171	80511
424	450201	79447
425	451453	78421
426	452318	77328
427	452945	76196
428	453679	75084
429	454424	73976
430	455196	72873
431	456197	71808
432	457226	70748
433	458341	69701
434	459450	68653
435	460232	67557
436	461085	66472
437	461825	65372
438	462640	64284
439	463518	63207
440	464368	62126
441	465334	61061
442	465987	59957
443	466838	58880
444	467595	57792
445	468544	56729
446	469584	55677
447	470564	54619
448	471472	53552
449	472366	52485
450	473233	51415
451	474182	50355
452	475156	49298
453	475999	48228
454	476828	47158
455	477569	46081
456	478466	45019
457	479227	43946
458	480025	42878
459	480832	41811
460	481666	40748
461	482625	39696
462	483534	38640
463	484316	37576
464	485111	36513
465	485927	35453
466	486664	34389
467	487256	33316
468	488250	32272
469	489288	31231
470	490476	30199
471	491657	29166
472	492411	28108
473	493131	27049
474	493731	25985
475	494441	24929
476	495442	23889
477	496242	22839
478	497162	21796
479	498414	20767
480	499268	19721
481	500174	18678
482	500751	17624
483	501343	16573
484	501890	15522
485	502457	14474
486	503004	13427
487	503605	12383
488	504204	11342
489	504860	10303
490	505584	9267
491	506066	8228
492	506678	7194
493	507730	6166
494	508777	5139
495	509483	4108
496	510369	3080
497	510822	2051
498	511210	1024
499	511573	0

99	637177	0
